Date,Open,High,Low,Close,Volume,Market Cap
Dec-07-2022,16835.04924,17290.3,16791.27889,17254.8416,31326142821,3.25364E+11
Dec-06-2022,17089.81611,17096.3844,16746.3916,16838.04747,33628606812,3.24422E+11
Dec-05-2022,16967.68378,17101.71347,16925.2251,17088.37612,33312994596,3.26627E+11
Dec-04-2022,17112.09583,17391.96734,16884.1888,16959.33606,33310234567,3.29966E+11
Dec-03-2022,16880.83041,17144.10055,16880.83041,17130.16533,25946687019,3.26979E+11
Dec-02-2022,17092.1973,17122.7858,16876.10583,16903.72363,28422679969,3.26145E+11
Dec-01-2022,16972.46462,17088.9091,16862.76796,17088.4265,33498051231,3.25967E+11
Nov-30-2022,17165.41157,17214.3263,16883.1711,16956.1893,38788974492,3.27771E+11
Nov-29-2022,16438.7456,17212.89826,16438.7456,17188.63468,44743059371,3.24787E+11
Nov-28-2022,16213.3896,16522.97747,16111.2497,16436.1924,52776387684,3.1542E+11
Nov-27-2022,16425.21291,16481.7679,16044.1124,16212.40325,44930760967,3.11557E+11
Nov-26-2022,16457.25328,16593.45956,16419.0214,16432.36462,35423221803,3.17876E+11
Nov-25-2022,16513.9287,16683.87487,16415.61993,16461.19452,39602744661,3.18241E+11
Nov-24-2022,16609.3759,16609.3759,16371.8691,16511.91128,40539647986,3.1686E+11
Nov-23-2022,16624.7795,16779.3432,16474.39258,16597.7313,51316136348,3.18979E+11
Nov-22-2022,16221.67,16652.2104,16167.2766,16615.2292,54191750386,3.16452E+11
Nov-21-2022,15781.03008,16260.7217,15666.2745,16174.9574,58615626724,3.06392E+11
Nov-20-2022,16286.8064,16286.8064,15598.4951,15779.9717,50201276580,3.08166E+11
Nov-19-2022,16704.48043,16746.2736,16248.1492,16291.4477,28445975204,3.18715E+11
Nov-18-2022,16704.6214,16807.0579,16565.157,16715.83859,33337255479,3.19762E+11
Nov-17-2022,16692.92278,16953.88897,16561.0259,16711.14178,47289260011,3.21561E+11
Nov-16-2022,16670.39512,16728.65601,16448.1626,16690.88953,51656804096,3.19059E+11
Nov-15-2022,16898.2358,16988.2412,16414.32076,16673.50771,57818172615,3.20803E+11
Nov-14-2022,16614.28715,17086.6912,16555.1515,16894.9265,68872354802,3.22603E+11
Nov-13-2022,16331.35218,17151.97426,15838.3193,16630.63746,64554331975,3.15537E+11
Nov-12-2022,16800.9926,16933.5745,16272.7358,16349.9976,39952276053,3.1912E+11
Nov-11-2022,17047.8221,17068.2517,16639.61702,16802.1943,68135292658,3.22974E+11
Nov-10-2022,17592.6207,17675.2616,16453.91913,17104.1984,1.08608E+11,3.2804E+11
Nov-09-2022,15897.5166,18179.29557,15866.93178,17590.41467,1.54013E+11,3.25301E+11
Nov-08-2022,18545.16182,18566.71676,15652.5911,15789.34242,1.64641E+11,3.35837E+11
Nov-07-2022,20590.7499,20657.6234,17641.1588,18528.52093,1.16086E+11,3.74846E+11
Nov-06-2022,20918.1723,21042.8703,20447.2795,20591.7459,75255069696,3.98071E+11
Nov-05-2022,21302.3297,21350.9881,20913.0539,20913.0539,54828288043,4.06627E+11
Nov-04-2022,21145.628,21461.07944,21095.7603,21281.5851,93930901874,4.08857E+11
Nov-03-2022,20205.27906,21213.06458,20190.88843,21156.078,86139251797,3.9675E+11
Nov-02-2022,20150.54441,20376.98663,20063.3165,20208.59651,89252131698,3.88201E+11
Nov-01-2022,20481.979,20732.0272,20073.87548,20151.52308,69104918002,3.91181E+11
Oct-31-2022,20495.70599,20650.43872,20374.12953,20481.5549,75086343467,3.9298E+11
Oct-30-2022,20620.8161,20806.8788,20290.12864,20504.46023,63533875356,3.9305E+11
Oct-29-2022,20809.80881,20910.0964,20520.35815,20621.7479,64733978709,3.9708E+11
Oct-28-2022,20595.37894,21003.55731,20563.937,20811.98837,78150625138,3.9821E+11
Oct-27-2022,20292.40585,20733.95162,20074.037,20608.2579,86808559758,3.90706E+11
Oct-26-2022,20766.80989,20860.75336,20249.7547,20283.97975,97985674212,3.95222E+11
Oct-25-2022,20081.82064,20943.08464,20065.93368,20754.02397,1.11642E+11,3.93581E+11
Oct-24-2022,19330.2129,20388.4725,19252.5634,20110.87556,62423042788,3.75486E+11
Oct-23-2022,19564.5146,19578.3784,19191.1109,19335.3937,57568925284,3.709E+11
Oct-22-2022,19203.7979,19669.50723,19112.1147,19548.7249,29334480682,3.69184E+11
Oct-21-2022,19162.5376,19248.5639,19119.8239,19202.85297,51155992135,3.67465E+11
Oct-20-2022,19042.7405,19231.1974,18743.2771,19166.3286,56719066041,3.6535E+11
Oct-19-2022,19123.6291,19328.0008,18942.909,19042.9309,50448821589,3.66447E+11
Oct-18-2022,19329.1763,19337.0797,19115.2331,19124.9892,61076924388,3.68228E+11
Oct-17-2022,19546.0154,19685.47556,19116.7442,19351.0697,62745223680,3.73219E+11
Oct-16-2022,19256.40623,19650.7575,19164.44404,19558.1117,48744779300,3.71733E+11
Oct-15-2022,19066.0574,19397.58735,19066.0574,19259.62065,31434982425,3.67281E+11
Oct-14-2022,19182.2476,19219.5647,19026.2672,19054.8847,55450156103,3.66827E+11
Oct-13-2022,19380.65578,19891.3268,19096.9897,19191.0274,94607306809,3.74023E+11
Oct-12-2022,19155.03423,19454.6764,18290.6714,19380.6893,66306380333,3.64703E+11
Oct-11-2022,19060.6544,19206.1014,19024.1102,19157.97735,57228996066,3.66398E+11
Oct-10-2022,19133.07734,19256.37998,18889.95635,19045.5416,58945067207,3.65469E+11
Oct-09-2022,19443.0047,19516.1351,19100.8137,19135.37402,43632528537,3.70405E+11
Oct-08-2022,19415.1815,19539.48528,19330.103,19436.3351,32508420907,3.72595E+11
Oct-07-2022,19533.27671,19607.87574,19275.3283,19401.0105,47210778232,3.73494E+11
Oct-06-2022,19956.8027,20042.217,19377.61884,19533.02825,60960544333,3.78822E+11
Oct-05-2022,20157.0733,20412.1791,19882.90905,19948.2219,73072720043,3.86125E+11
Oct-04-2022,20339.9766,20343.1053,19759.35203,20168.6041,69289916686,3.8562E+11
Oct-03-2022,19621.4414,20373.39697,19510.5453,20339.726,68130612935,3.8201E+11
Oct-02-2022,19057.6437,19666.3757,19031.5833,19610.3879,57075608007,3.70126E+11
Oct-01-2022,19311.0991,19388.8829,18940.09448,19035.34988,38546956252,3.68504E+11
Sep-30-2022,19424.06007,19470.25237,19221.463,19305.1719,68653690679,3.70381E+11
Sep-29-2022,19595.19645,20130.3524,19251.1829,19449.60774,83393624974,3.74199E+11
Sep-28-2022,19417.11887,19595.0236,18900.6111,19593.33746,93504140231,3.7168E+11
Sep-27-2022,19109.88148,19731.8756,18528.60194,19399.48878,1.09017E+11,3.66474E+11
Sep-26-2022,19224.7583,20346.1614,18844.2644,19098.47982,98288909824,3.78214E+11
Sep-25-2022,18802.6997,19277.51156,18700.5511,19238.7536,67509007649,3.64325E+11
Sep-24-2022,18923.4988,19135.6295,18682.76349,18814.0516,44811745465,3.63658E+11
Sep-23-2022,19290.27961,19294.62788,18831.32928,18931.73411,70758854556,3.65484E+11
Sep-22-2022,19404.73613,19466.7087,18568.7795,19245.96942,77987818268,3.65154E+11
Sep-21-2022,18480.42574,19493.93645,18374.8544,19429.13269,99240692196,3.63556E+11
Sep-20-2022,18873.9083,19670.86591,18200.89554,18501.82049,73457138532,3.64096E+11
Sep-19-2022,19537.1129,19624.33598,18799.07474,18873.2005,77663890643,3.67437E+11
Sep-18-2022,19420.56091,19623.12094,18391.81939,19576.6372,79169374905,3.64027E+11
Sep-17-2022,20121.8493,20121.8493,19374.4683,19393.59391,47383656476,3.80423E+11
Sep-16-2022,19803.71233,20173.35446,19768.49012,20123.64055,57758805461,3.82059E+11
Sep-15-2022,19702.014,19880.55358,19360.1566,19756.26819,66830132537,3.77414E+11
Sep-14-2022,20221.79021,20288.6975,19652.74184,19662.3883,75639756188,3.82778E+11
Sep-13-2022,20175.70209,20486.08435,19748.01319,20251.71983,84479598023,3.87242E+11
Sep-12-2022,22399.97823,22698.77167,20032.1647,20172.39246,81152505173,4.12381E+11
Sep-11-2022,21818.60296,22458.63331,21589.69466,22387.93863,69203768619,4.23653E+11
Sep-10-2022,21648.39,21810.00021,21381.9013,21789.45241,51346227840,4.13659E+11
Sep-09-2022,21362.69347,21767.7515,21166.98725,21661.704,62426090340,4.09414E+11
Sep-08-2022,19324.6317,21396.56903,19323.3601,21370.64087,60209335509,3.96785E+11
Sep-07-2022,19283.33315,19428.68675,19081.5462,19318.4204,49633780892,3.68645E+11
Sep-06-2022,18785.90733,19446.587,18578.84042,19275.30356,56371120128,3.61859E+11
Sep-05-2022,19786.6074,20154.40267,18744.9048,18812.06104,48719532558,3.75268E+11
Sep-04-2022,20000.39948,20040.55329,19660.14857,19808.09596,35287255189,3.78844E+11
Sep-03-2022,19830.80646,19999.59658,19620.9343,19975.3081,30188903488,3.7903E+11
Sep-02-2022,19957.5713,20046.5481,19678.207,19834.79562,46422244779,3.79758E+11
Sep-01-2022,20123.43013,20409.61699,19787.50041,19927.5466,53777627900,3.84505E+11
Aug-31-2022,20053.474,20185.9976,19619.6549,20145.5884,59976236430,3.8222E+11
Aug-30-2022,19794.2573,20438.0133,19794.2573,20046.9471,68910236345,3.86652E+11
Aug-29-2022,20295.05747,20558.0115,19595.5805,19768.0653,59130067822,3.85411E+11
Aug-28-2022,19539.5807,20360.7005,19539.5807,20280.87118,50011859822,3.82224E+11
Aug-27-2022,20032.7284,20133.3567,19606.7351,19606.7351,41580848932,3.82562E+11
Aug-26-2022,20254.82006,20331.54696,19870.57393,20050.5705,59715633081,3.84932E+11
Aug-25-2022,21563.19311,21812.7889,20122.77851,20215.51485,54504579115,4.04942E+11
Aug-24-2022,21367.72491,21773.14866,21330.7948,21591.28483,50399097415,4.13233E+11
Aug-23-2022,21512.99519,21826.3262,21172.07432,21378.10481,50558561664,4.10769E+11
Aug-22-2022,21412.8329,21632.79067,20946.7834,21516.13082,56455916260,4.09246E+11
Aug-21-2022,21511.40548,21511.40548,20931.27811,21418.635,48612705849,4.06816E+11
Aug-20-2022,21138.10908,21671.11018,21085.99916,21515.70635,42209985479,4.08763E+11
Aug-19-2022,20836.67633,21336.82388,20829.83792,21163.4085,61145030799,4.04935E+11
Aug-18-2022,23192.0722,23192.0722,20840.72427,20840.72427,56799885625,4.1776E+11
Aug-17-2022,23338.393,23575.6112,23140.45858,23206.1852,50975738596,4.47831E+11
Aug-16-2022,23858.86042,24416.598,23213.05903,23311.75915,55592942003,4.53257E+11
Aug-15-2022,24088.5357,24236.6282,23707.5439,23889.74606,59133679900,4.58345E+11
Aug-14-2022,24300.94304,25136.0173,23804.7166,24146.6057,59267124807,4.63906E+11
Aug-13-2022,24443.20772,24975.3551,24177.63291,24323.00217,45036090766,4.68506E+11
Aug-12-2022,24399.2979,24879.86331,24334.20221,24427.97318,55096228622,4.6893E+11
Aug-11-2022,23934.3906,24417.5757,23644.7259,24395.938,74588843079,4.58429E+11
Aug-10-2022,23956.8358,24838.02258,23872.7772,23928.9778,86265117554,4.65825E+11
